Id,Gender,WritingType,NativeLanguage,EducationalDegree1
1000,F,Right-handed,German,Matur
1001,M,Right-handed,Swiss German,FH
1002,M,Right-handed,Swiss German,Matur
1003,M,Right-handed,Swiss German,FH
1004,M,Right-handed,Swiss German,Licentiate
1005,M,Right-handed,Swiss German,Matur
1006,F,Right-handed,Swiss German,El.-Ing. FH
1007,F,Right-handed,Turkish,Master
1008,F,Right-handed,Swiss German,Matur
1009,M,Left-handed,Swiss German,Abitur
1010,M,Right-handed,German,Matur
1011,M,Right-handed,Swiss German,Matur
1012,M,Right-handed,Swiss German,Matur
1013,F,Right-handed,French,
1014,F,Left-handed,Swiss German,Bachelor
1015,F,Right-handed,Chinese,Matur
1016,M,Right-handed,Swiss German,Matur
1017,M,Right-handed,Swiss German,PhD
1018,F,Right-handed,Swiss German,Matur
1019,M,Right-handed,Swiss German,
1020,F,Right-handed,Swiss German,Dipl. Phil. nat.
1021,F,Right-handed,Swiss German,Matur
1022,M,Right-handed,Swiss German,Matur
1023,F,Right-handed,Swiss German,
1024,F,Right-handed,Swiss German,Dipl.
1025,F,Right-handed,Swiss German,Matur
1026,M,Right-handed,Swiss German,Matur
1027,F,Right-handed,Swiss German,FH
1028,F,Left-handed,Swiss German,Matur
1029,F,Right-handed,Swiss German,Matur
1030,M,Right-handed,German,Matur
1031,M,Right-handed,French,Dipl. Inform.
1032,M,Right-handed,Swiss German,Matur
1033,M,Right-handed,Swiss German,Matur
1034,M,Right-handed,Swiss German,Matur
1035,F,Left-handed,Swiss German,
1036,M,Right-handed,Swiss German,Matur
1037,M,Right-handed,Swiss German,Matur
1038,F,Right-handed,Swiss German,Matur
1039,M,Right-handed,Finnish,Matur
1040,M,Right-handed,Swiss German,Matur
1041,M,Right-handed,Swiss German,Bachelor
1042,M,Right-handed,Swiss German,Matur
1043,M,Right-handed,Swiss German,Matur
1044,F,Right-handed,Swiss German,Matur
1045,M,Right-handed,German,Matur
1046,M,Right-handed,Swiss German,Matur
1047,M,Right-handed,Swiss German,Matur
1048,F,Right-handed,Finnish,Matur
1049,F,Right-handed,Swiss German,Matur
1050,F,Right-handed,Swiss German,Matur
1051,F,Right-handed,Swiss German,Matur
1052,M,Right-handed,German,Master of Science
1053,M,Left-handed,Swiss German,Matur
1054,F,Right-handed,Swiss German,Matur
1055,F,Right-handed,Swiss German,MSc
1056,M,Right-handed,Swiss German,Matur
1058,M,Right-handed,Swiss German,Matur
1059,M,Right-handed,Hungarian,Dipl.
1060,M,Right-handed,Ukrainian,Matur
1061,M,Right-handed,Swiss German,
1062,M,Right-handed,Swiss German,Matur
1063,M,Right-handed,German,Matur
1064,M,Right-handed,German,
1065,M,Right-handed,Finnish,Matur
