,image,writing,gender
0,/content/drive/MyDrive/lines folder/p02-022-07.png,2,1
1,/content/drive/MyDrive/lines folder/p02-022-03.png,2,1
2,/content/drive/MyDrive/lines folder/p02-027-01.png,0,0
3,/content/drive/MyDrive/lines folder/p02-027-02.png,0,0
4,/content/drive/MyDrive/lines folder/p02-027-03.png,0,0
5,/content/drive/MyDrive/lines folder/p02-027-00.png,0,0
6,/content/drive/MyDrive/lines folder/p02-027-04.png,0,0
7,/content/drive/MyDrive/lines folder/p02-069-06.png,1,0
8,/content/drive/MyDrive/lines folder/p02-069-02.png,1,0
9,/content/drive/MyDrive/lines folder/p02-069-03.png,1,0
10,/content/drive/MyDrive/lines folder/p02-069-07.png,1,0
11,/content/drive/MyDrive/lines folder/p02-069-00.png,1,0
12,/content/drive/MyDrive/lines folder/p02-069-04.png,1,0
13,/content/drive/MyDrive/lines folder/p02-069-09.png,1,0
14,/content/drive/MyDrive/lines folder/p02-069-08.png,1,0
15,/content/drive/MyDrive/lines folder/p02-069-01.png,1,0
16,/content/drive/MyDrive/lines folder/p02-069-05.png,1,0
17,/content/drive/MyDrive/lines folder/p02-076-01.png,0,0
18,/content/drive/MyDrive/lines folder/p02-076-02.png,0,0
19,/content/drive/MyDrive/lines folder/p02-076-00.png,0,0
20,/content/drive/MyDrive/lines folder/p02-076-04.png,0,0
21,/content/drive/MyDrive/lines folder/p02-076-05.png,0,0
22,/content/drive/MyDrive/lines folder/p02-076-08.png,0,0
23,/content/drive/MyDrive/lines folder/p02-076-09.png,0,0
24,/content/drive/MyDrive/lines folder/p02-076-10.png,0,0
25,/content/drive/MyDrive/lines folder/p02-076-07.png,0,0
26,/content/drive/MyDrive/lines folder/p02-076-06.png,0,0
27,/content/drive/MyDrive/lines folder/p02-076-03.png,0,0
28,/content/drive/MyDrive/lines folder/p02-081-01.png,0,0
29,/content/drive/MyDrive/lines folder/p02-081-00.png,0,0
30,/content/drive/MyDrive/lines folder/p02-081-03.png,0,0
31,/content/drive/MyDrive/lines folder/p02-081-05.png,0,0
32,/content/drive/MyDrive/lines folder/p02-081-06.png,0,0
33,/content/drive/MyDrive/lines folder/p02-081-07.png,0,0
34,/content/drive/MyDrive/lines folder/p02-081-08.png,0,0
35,/content/drive/MyDrive/lines folder/p02-081-04.png,0,0
36,/content/drive/MyDrive/lines folder/p02-081-09.png,0,0
37,/content/drive/MyDrive/lines folder/p02-081-02.png,0,0
38,/content/drive/MyDrive/lines folder/p02-090-03.png,1,0
39,/content/drive/MyDrive/lines folder/p02-090-06.png,1,0
